SZO_ID	SZO	LEMMA	SZOFAJ	MORPH	PARENT_ID	DEP_LABEL	CONST_LABEL
1	Megyek	megy	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(ROOT(CP(XP(V_(V0*))	
2	utánam	után	PRON	Case=Nom|Number=Sing|Person=1|PronType=Prs	1	SUBJ	(ADVP*))))	

1	Megyek	megy	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(ROOT(CP(CP(V_(V0*))	
2	utánam	után	PRON	Case=Nom|Number=Sing|Person=1|PronType=Prs	1	SUBJ	(ADVP*))	
3	,	,	PUNCT	_	1	PUNCT	*	
4	követem	követ	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	1	COORD	(CP(V_(V0*))	
5	magam	maga	PRON	Case=Nom|Number=Sing|Person=1|Reflex=Yes	4	OBJ	(NP*))	
6	.	.	PUNCT	_	0	PUNCT	*))	

1	A	a	DET	Definite=Def|PronType=Art	2	DET	(ROOT(CP(CP(NP*	
2	beton-vadonban	beton-vadon	NOUN	Case=Ine|Number=Sing	3	OBL	*)	
3	eltévedek	eltéved	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*)))	
4	,	,	PUNCT	_	3	PUNCT	*	
5	lyukas	lyukas	ADJ	Case=Nom|Degree=Pos|Number=Sing	2	ATT	(CP(NP*))))	

1	cipõm	cipõ	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=1	3	SUBJ	(ROOT(CP(NP*)	
2	nem	nem	ADV	PronType=Neg	3	NEG	(NEG*)	
3	illik	illik	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*))	
4	a	a	DET	Definite=Def|PronType=Art	5	DET	(NP*	
5	nyomomba	nyom	NOUN	Case=Ill|Number=Sing|Number[psor]=Sing|Person[psor]=1	3	OBL	*)	
6	.	.	PUNCT	_	0	PUNCT	*))	

1	Vörös	vörös	ADJ	Case=Nom|Degree=Pos|Number=Sing	2	ATT	(ROOT(CP(NP(ADJP*)	
2	téglát	tégla	NOUN	Case=Acc|Number=Sing	3	OBJ	*)	
3	vet	vet	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*))	
4	felém	felé	PRON	Case=Nom|Number=Sing|Person=1|PronType=Prs	3	SUBJ	(NP*)	
5	a	a	DET	Definite=Def|PronType=Art	6	DET	(NP*	
6	Nap	Nap	PROPN	Case=Nom|Number=Sing	4	COORD	*)	
7	.	.	PUNCT	_	0	PUNCT	*))	

1	Égõ	égõ	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	0	ROOT	(ROOT(NP*))	

1	árnyékomra	árnyék	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=1	2	OBL	(ROOT(CP(NP*)	
2	lépek	lép	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*))	
3	,	,	PUNCT	_	2	PUNCT	*	
4	talpam	talp	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=1	2	APPEND	(NP*)	
5	füstölög,	füstölög,	PROPN	Case=Nom|Number=Sing	4	COORD	(NP*)))	

1	így	így	ADV	PronType=Dem	2	MODE	(ROOT(CP(ADVP*)	
2	hagyok	hagy	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*))	
3	jelet	jel	NOUN	Case=Acc|Number=Sing	2	OBJ	(NP*)	
4	magamnak	maga	PRON	Case=Dat|Number=Sing|Person=1|Reflex=Yes	2	DAT	(NP*)	
5	.	.	PUNCT	_	0	PUNCT	*))	

1	Követem	követ	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(ROOT(CP(V_(V0*))	
2	az	az	DET	Definite=Def|PronType=Art	3	DET	(NP*	
3	égen	ég	NOUN	Case=Sup|Number=Sing	5	OBL	*)	
4	rajokban	raj	NOUN	Case=Ine|Number=Plur	5	OBL	(NP*)	
5	vonuló	vonuló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	1	ATT	(NP*)))	

1	fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	2	ATT	(ROOT(CP(NP(NP(ADJP*)	
2	betûket	betû	NOUN	Case=Acc|Number=Plur	0	ROOT	*)	
3	,	,	PUNCT	_	2	PUNCT	*	
4	a	a	DET	Definite=Def|PronType=Art	6	DET	(NP*	
5	fáslizott	fáslizott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	6	ATT	*))	
6	csontok	csont	NOUN	Case=Nom|Number=Plur	2	COORD	(NP*)))	

1	szomorkás	szomorkás	ADJ	Case=Nom|Degree=Pos|Number=Sing	4	ATT	(ROOT(CP(NP(ADJP(ADJP*)	
2	,	,	PUNCT	_	1	PUNCT	*	
3	ütõképes	ütõképes	ADJ	Case=Nom|Degree=Pos|Number=Sing	1	COORD	(ADJP*))	
4	seregét	sereg	NOUN	Case=Acc|Number=Sing|Number[psor]=Sing|Person[psor]=3	0	ROOT	*)	
5	.	.	PUNCT	_	0	PUNCT	*))	

1	19	19	NUM	Case=Nom|NumType=Card|Number=Sing	0	ROOT	(ROOT(NP*))	

1	„	„	PUNCT	_	0	PUNCT	(ROOT(CP*))	

1	„	„	PUNCT	_	0	PUNCT	(ROOT(CP*))	

1	20	20	NUM	Case=Nom|NumType=Card|Number=Sing	0	ROOT	(ROOT(NP*))	

1	tiszatáj	tiszatáj	NOUN	Case=Nom|Number=Sing	0	ROOT	(ROOT(NP*))	

1	Megyek	megy	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(ROOT(CP(CP(V_(V0*))	
2	utánam	után	PRON	Case=Nom|Number=Sing|Person=1|PronType=Prs	1	SUBJ	(ADVP*))	
3	,	,	PUNCT	_	1	PUNCT	*	
4	követem	követ	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	1	COORD	(CP(V_(V0*))	
5	magam	maga	PRON	Case=Nom|Number=Sing|Person=1|Reflex=Yes	4	OBJ	(NP*))	
6	.	.	PUNCT	_	0	PUNCT	*))	

1	Elérek	elér	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(ROOT(CP(V_(V0*))	
2	a	a	DET	Definite=Def|PronType=Art	3	DET	(NP*	
3	szögekkel	szög	NOUN	Case=Ins|Number=Plur	4	OBL	*)	
4	teleszórt	teleszórt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	5	ATT	(NP*	
5	Golgotáig,	Golgotáig,	PROPN	Case=Nom|Number=Sing	1	SUBJ	*)))	

1	szemhéjamon	szemhéj	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=1	3	OBL	(ROOT(CP(NP*)	
2	vércsék	vércse	NOUN	Case=Nom|Number=Plur	3	SUBJ	(NP*)	
3	ülnek	ül	VERB	Definite=Ind|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	0	ROOT	(V_(V0*))	
4	.	.	PUNCT	_	0	PUNCT	*))	

